OBJECTID,NAME,Obesity,Shape__Area,Shape__Length
667461c4fc13ae45692344ea,Madrid,31.7,3043569261327.27,10982623.96
667461c4fc13ae45692344eb,,23.6,583926564878.09,11121338.42
667461c4fc13ae45692344ec,,34.5,2362377833287.07,13496729.67
667461c4fc13ae45692344ed,,20.9,1310992234826.88,14247067.91
667461c4fc13ae45692344ee,,25.4,1593307582323.75,13528492.35
667461c4fc13ae45692344ef,,29.3,3258415935200.27,12754713.3
667461c4fc13ae45692344f0,,29.0,4216172291949.61,11477163.83
667461c4fc13ae45692344f1,,32.3,3403260640507.11,7420504.59
667461c4fc13ae45692344f2,,24.6,4022312940639.77,12257065.33
667461c4fc13ae45692344f3,,26.7,1382643443133.99,5036768.48
667461c4fc13ae45692344f4,,35.1,2242020461457.48,8055708.14
667461c4fc13ae45692344f5,,32.8,556660338962.38,5300602.5
667461c4fc13ae45692344f6,,36.0,2400808842715.7,10017825.88
667461c4fc13ae45692344f7,,24.8,3124188221255.54,8458973.82
667461c4fc13ae45692344f8,,23.3,3371161900270.82,6091209.88
667461c4fc13ae45692344f9,Braga,31.2,4191488902572.88,12461192.16
667461c4fc13ae45692344fa,,29.4,2770358780896.0,9988351.75
667461c4fc13ae45692344fb,,34.5,2186194177066.49,7884780.58
667461c4fc13ae45692344fc,,23.5,3696015650821.33,8331251.73
667461c4fc13ae45692344fd,Ilha de São Miguel,35.7,3746831683480.6,13512764.46
667461c4fc13ae45692344fe,,32.6,1578993635027.4,13299485.91
667461c4fc13ae45692344ff,Florida,31.2,3384143975498.14,5952731.13
667461c4fc13ae4569234500,,21.5,2092644450710.61,13223950.58
667461c4fc13ae4569234501,Corse,25.7,4043645799029.19,7490930.01
667461c4fc13ae4569234502,,20.7,2926635957686.24,14065988.63
667461c4fc13ae4569234503,,25.7,978364193478.54,11580635.8
667461c4fc13ae4569234504,,30.4,4290649683441.48,14407171.06
667461c4fc13ae4569234505,,35.6,2131500408351.05,12844756.11
667461c4fc13ae4569234506,,25.3,1965724000052.53,11210309.12
667461c4fc13ae4569234507,,29.0,912445781724.51,10221256.12
667461c4fc13ae4569234508,Steiermark,31.9,3457292808506.05,8227176.62
667461c4fc13ae4569234509,,23.6,2220648894464.4,7534577.78
667461c4fc13ae456923450a,,22.3,4262740224303.72,10263628.61
667461c4fc13ae456923450b,,27.7,1606715192685.08,8926189.52
667461c4fc13ae456923450c,,31.7,2464622856699.06,10922515.84
667461c4fc13ae456923450d,,25.8,4134855970518.4,9415612.67
667461c4fc13ae456923450e,,26.0,2528304169362.39,13283354.39
667461c4fc13ae456923450f,,24.9,904798360466.37,11662147.5
667461c4fc13ae4569234510,,36.2,2236479777221.53,5446778.97
667461c4fc13ae4569234511,,25.1,1364089564823.91,12206096.78
667461c4fc13ae4569234512,,25.2,2593959210441.47,14291600.02
667461c4fc13ae4569234513,,27.2,3376404630902.05,8637407.62
667461c4fc13ae4569234514,,26.6,3253324547377.13,8795125.81
667461c4fc13ae4569234515,,34.9,1181112601387.15,11461308.65
667461c4fc13ae4569234516,,26.6,771643090216.48,7849857.11
667461c4fc13ae4569234517,,33.4,3472381456079.04,12103682.81
667461c4fc13ae4569234518,,35.4,2042870487422.78,8004332.32
667461c4fc13ae4569234519,,21.4,4166172921263.09,9493842.31
667461c4fc13ae456923451a,,28.9,1720995841610.89,10976150.35
667461c4fc13ae456923451b,,24.5,3790008896995.87,11993088.95
667461c4fc13ae456923451c,,22.0,4141584469308.71,8349433.96
667461c4fc13ae456923451d,,35.2,1119491619306.93,12224505.93
